kanji_text,radical,kanji_pron,on_pron,kun_pron,mean,memo,level_id,examples
一,一,NHẤT,イチ; イツ,ひと; ひと-つ; ひと-り,Một,Số 1 được biểu thị bằng 1 ngón tay.,5,一瞬(いっしゅん); 一月(いちがつ); 十一(じゅういち); 一万(いちまん); 一億(いちおく); 一回(いっかい); 一人(ひとり); 一番(いちばん); 一度(いちど); 均一(きんいつ)
二,一; 一,NHỊ,ニ; ジ,ふた; ふた-つ; ふた-り,Hai,Số 2 được biểu thị bằng 2 ngón tay.,5,二月(にがつ); 十二(じゅうに); 二十(にじゅう); 二回(にかい); 二重(にじゅう); 二人(ふたり); 第二(だいに); 二親(ふたおや); 二心(ふたごころ); 二幅(ふたの)
三,一; 一; 一,TAM,サン; ゾウ,み; み-つ; みっつ,"Ba, số 3",Số 3 được biểu thị bằng 3 ngón tay.,5,三月(さんがつ); 三十(さんじゅう); 三回(さんかい); 三重(みえ); 第三(だいさん); 三日(みっか); 三角(さんかく); 三界(さんがい); 二三(にさん); 三曲(さんきょく)
四,囗; 儿,TỨ,シ,よ; よ-つ; よっ-つ; よん,"Bốn, số 4",Hình tứ giác có 4 góc.,5,四月(しがつ); 四十(よんじゅう); 四面(しめん); 第四(だいし); 四角(しかく); 四季(しき); 四散(しさん); 四方(しほう); 四つ(よっつ); 四時(よじ)
五,五,NGŨ,ゴ,いつ; いつ-つ,"Năm, số 5",Bạn có thể tạo ra chữ Ngũ bằng 5 que diêm được không?,5,五月(ごがつ); 十五(じゅうご); 五十(ごじゅう); 五価(ごか); 五戒(ごかい); 五感(ごかん); 五経(ごきょう); 五行(ごぎょう); 五悪(ごあく); 五絃(ごげん)
六,亠; 八,LỤC,ロク,む; む-つ; むっ-つ; むい,"Sáu, số 6",Đây là cách người Trung Quốc biểu thị số 6.,5,六月(ろくがつ); 六十(ろくじゅう); 六日(むいか); 六本(ろっぽん); 甚六(じんろく); 六つ(むつ); 六時(ろくじ); 六分(ろっぷん); 六年(ろくねん); 六着(ろくちゃく)
七,七,THẤT,シチ,なな; なな-つ; なの,"Bảy, số bảy",2 cộng 5 là 7.,5,七月(しちがつ); 七十(ななじゅう); 七色(なないろ); 七重(ななえ); 七草(ななくさ); 七日(なのか); 七瀬(ななせ); 七海(ななみ); 七つ(ななつ); 七時(しちじ)
八,八,BÁT,ハチ,や; や-つ; やっ-つ; よう,Số tám,Đây là (ハ) trong (ハチ) viết bằng Katakana.,5,八月(はちがつ); 八十(はちじゅう); 八重(やえ); 八日(ようか); 八つ(やっつ); 八時(はちじ); 八分(はっぷん); 八年(はちねん); 八着(はっちゃく); 八台(はちだい)
九,九,CỬU,キュウ; ク,ここの; ここの-つ,"Chín, số 9",Bạn có chống đẩy được 9 cái không?,5,九月(くがつ); 九十(きゅうじゅう); 九九(くく); 九死(きゅうし); 九州(きゅうしゅう); 九拝(きゅうはい); 九重(ここのえ); 九つ(ここのつ); 九時(くじ); 九分(きゅうふん)
十,十,THẬP,ジュウ; ジッ; ジュッ,とお; と,Số mười,Hãy bó 10 thanh này lại với nhau.,5,十月(じゅうがつ); 十年(とおねん); 十一(じゅういち); 十二(じゅうに); 十五(じゅうご); 二十(にじゅう); 三十(さんじゅう); 四十(よんじゅう); 五十(ごじゅう); 六十(ろくじゅう)
百,一; 白,"BÁCH, MẠCH",ヒャク; ビャク,もも,"Trăm, một trăm",Xoay số 100 góc 90 độ về bên phải ta được hình giống chữ 百.,5,百年(ひゃくねん); 百万(ひゃくまん); 百害(ひゃくがい); 百事(ひゃくじ); 百獣(ひゃくじゅう); 百姓(ひゃくしょう); 百戦(ひゃくせん); 百代(ひゃくだい); 百檀(ひゃくだん); 百日(ひゃくにち)
千,千,THIÊN,セン,ち,"Nghìn, một nghìn",Bổ sung (ノ) vào 10 (十) ta được (千) một số lớn hơn rất nhiều.,5,千鳥(ちどり); 千里(せんり); 二千(にせん); 三千(さんぜん); 四千(よんせん); 五千(ごせん); 六千(ろくせん); 七千(ななせん); 八千(はっせん); 九千(きゅうせん)
万,万,"VẠN, MẶC",マン; バン,よろず,"Mười nghìn, một vạn, nhiều",Một vạn là một số gồm 5 chữ số.,5,一万(いちまん); 百万(ひゃくまん); 巨万(きょまん); 万金(まんきん); 万言(まんげん); 万着(まんちゃく); 万人(まんにん); 万能(ばんのう); 万病(まんびょう); 万一(まんいち)
円,円,VIÊN,エン,まる-い; まる; まど; まど-か; まろ-やか,"Đồng yên, tròn",Đây là hình dạng một vòng tròn.,5,円高(えんだか); 大円(だいえん); 楕円(だえん); 円柱(えんちゅう); 円価(えんか); 円貨(えんか); 円滑(えんかつ); 円鏡(えんきょう); 円形(えんけい); 円光(えんこう)
